year,IPv4,IPv6
2000,3,0
2001,4.231567366322656,0
2002,4.197680142253206,0
2003,4.074107584311651,0
2004,4.256164751651206,0
2005,4.27422244742782,4.738571428571428
2006,4.437524752121993,0
2007,4.661850920350786,5.7680965147453085
2008,4.76093072971092,5.186946902654867
2009,4.988480017533386,4.921173080183082
2010,4.91079421477171,5.384783082624809
2011,4.953648286002876,5.282639885222381
2012,4.696348042456255,4.074608877042531
2013,4.657721587813214,4.172630148750585
2014,4.662445313489928,4.319036968819892
2015,4.711226401273574,4.435262229769447
2016,4.715526650437618,4.22943506612225
2017,4.726906776055822,4.256254163377948
2018,4.781641954242916,4.170341326828598
