asn,peer_count,provider_count,customer_count,sibling_count
36921,30462,0,1,0
13396,30461,0,2,0
42298,30462,0,1,0
26102,30462,0,1,0
35997,30462,0,1,0
25549,30458,3,2,0
34763,30451,2,9,1
33509,30462,0,1,0
28966,30462,0,1,0
24638,30452,8,3,0
40546,30462,0,1,0
39157,30462,0,1,0
31252,30447,11,5,0
32396,30462,0,1,0
21469,30462,0,1,0
9323,30461,0,2,0
23291,30461,0,2,0
39108,30462,0,1,0
35686,30460,2,1,0
30319,30462,0,1,0
28701,30461,1,1,0
41160,30461,0,2,0
16416,30462,0,1,0
7752,30461,0,2,0
12867,30458,4,1,0
34927,30462,0,1,0
16013,30461,0,2,0
42492,30459,0,4,0
33824,30461,0,2,0
42899,30459,0,4,0
24592,30459,1,3,0
37888,30461,0,2,0
19217,30462,0,1,0
9226,30458,3,2,0
47928,30461,0,2,0
25069,30462,0,1,0
41677,30461,0,2,0
23508,30461,0,2,0
30844,30456,2,5,0
42665,30461,0,2,0
48236,30462,0,1,0
11903,30462,0,1,0
47317,30462,0,1,0
10015,30453,6,4,0
44831,30462,0,1,0
28687,30462,0,1,0
44084,30462,0,1,0
27581,30462,0,1,0
9243,30462,0,1,0
17806,30432,29,2,0
32016,30461,0,2,0
28971,30461,0,2,0
23198,30461,0,2,0
26708,30461,0,2,0
21073,30459,0,4,0
8698,30462,0,1,0
41912,30461,0,2,0
9419,30460,0,3,0
40800,30462,0,1,0
31131,30462,0,1,0
13646,30455,2,6,0
6312,30462,0,1,0
4387,30462,0,1,0
24227,30462,0,1,0
31803,30462,0,1,0
15269,30462,0,1,0
46455,30462,0,1,0
10352,30461,0,2,0
13579,30460,1,2,0
34505,30461,0,2,0
23398,30462,0,1,0
14580,30461,0,2,0
36614,30462,0,1,0
29298,30460,0,3,0
23270,30461,0,2,0
24097,30462,0,1,0
15410,30461,1,1,0
28214,30462,0,1,0
21630,30462,0,1,0
41296,30462,0,1,0
39920,30462,0,1,0
36434,30462,0,1,0
47496,30461,0,2,0
28799,30461,0,2,0
19128,30461,0,2,0
43232,30462,0,1,0
22055,30461,0,2,0
13298,30462,0,1,0
42212,30462,0,1,0
31378,30459,0,4,0
33977,30462,0,1,0
41586,30462,0,1,0
21197,30462,0,1,0
12265,30462,0,1,0
13755,30461,0,2,0
43501,30462,0,1,0
34085,30461,0,2,0
336,30462,0,1,0
26270,30462,0,1,0
22266,30461,0,2,0
40315,30461,0,2,0
29522,30460,0,3,0
24013,30462,0,1,0
10468,30461,0,2,0
11059,30461,0,2,0
39355,30462,0,1,0
17852,30461,0,2,0
27206,30462,0,1,0
27486,30462,0,1,0
12315,30462,0,1,0
30310,30462,0,1,0
35368,30461,0,2,0
25457,30462,0,1,0
10361,30457,0,6,0
48356,30462,0,1,0
36969,30461,0,2,0
18618,30459,3,1,0
17583,30460,0,3,0
21038,30462,0,1,0
35342,30462,0,1,0
9306,30460,0,3,0
18151,30461,0,2,0
33421,30462,0,1,0
30856,30462,0,1,0
18787,30462,0,1,0
27796,30460,1,2,0
38483,30462,0,1,0
7430,30459,2,2,0
17443,30459,2,2,0
10763,30461,0,2,0
24085,30460,0,3,0
18847,30462,0,1,0
33310,30462,0,1,0
41021,30461,0,2,0
46325,30461,0,2,0
38727,30460,0,3,0
18965,30462,0,1,0
47472,30462,0,1,0
17557,30435,23,4,1
9815,30461,1,1,0
29893,30462,0,1,0
45148,30462,0,1,0
38276,30462,0,1,0
48476,30462,0,1,0
41377,30461,0,2,0
16718,30461,0,2,0
10984,30461,0,2,0
31686,30462,0,1,0
45005,30462,0,1,0
41471,30460,0,3,0
23977,30462,0,1,0
44218,30461,0,2,0
12543,30461,0,2,0
12820,30461,0,2,0
6713,30457,3,3,0
41227,30462,0,1,0
8581,30462,0,1,0
18013,30462,0,1,0
20009,30462,0,1,0
23706,30461,0,2,0
5474,30461,0,2,0
14043,30461,0,2,0
29659,30459,0,4,0
19129,30462,0,1,0
15723,30461,1,1,0
24376,30461,0,2,0
6510,30461,0,2,0
44386,30461,0,2,0
19330,30461,0,2,0
11272,30459,2,2,0
36725,30462,0,1,0
20381,30461,0,2,0
46788,30462,0,1,0
15672,30455,1,7,0
32531,30461,0,2,0
30127,30462,0,1,0
13994,30460,1,2,0
16351,30459,0,4,0
34116,30462,0,1,0
48310,30462,0,1,0
14371,30462,0,1,0
11539,30462,0,1,0
29561,30461,0,2,0
35782,30462,0,1,0
39200,30459,0,4,0
34101,30461,0,2,0
18416,30462,0,1,0
25116,30462,0,1,0
42052,30462,0,1,0
31476,30461,0,2,0
15388,30461,0,2,0
42486,30462,0,1,0
29204,30459,1,3,0
7687,30460,0,3,0
19846,30462,0,1,0
40976,30461,0,2,0
26024,30461,0,2,0
33662,30462,0,1,0
28831,30460,0,3,0
26848,30461,0,2,0
43333,30460,1,2,0
32656,30462,0,1,0
27742,30456,4,3,0
10198,30461,0,2,0
29968,30461,0,2,0
19677,30461,0,2,0
16273,30461,0,2,0
44769,30462,0,1,0
22722,30460,0,3,0
39719,30462,0,1,0
44870,30462,0,1,0
35949,30462,0,1,0
32914,30461,0,2,0
25766,30459,1,3,0
6147,30462,0,1,0
35879,30462,0,1,0
33028,30461,0,2,0
31685,30461,0,2,0
13248,30459,2,2,0
25639,30462,0,1,0
35053,30461,0,2,0
38660,30461,0,2,0
15863,30461,0,2,0
17555,30461,0,2,0
38836,30461,0,2,0
18142,30460,0,3,0
20178,30462,0,1,0
44546,30460,2,1,0
34544,30461,0,2,0
27672,30462,0,1,0
42856,30460,0,3,0
35609,30462,0,1,0
28736,30462,0,1,0
32551,30462,0,1,0
39777,30462,0,1,0
16047,30461,1,1,0
39289,30462,0,1,0
29835,30452,8,3,0
35961,30462,0,1,0
41270,30460,0,3,0
41217,30461,0,2,0
20694,30461,0,2,0
39499,30462,0,1,0
9534,30457,2,4,0
17926,30460,0,3,0
27956,30461,0,2,0
14833,30457,0,6,0
18669,30462,0,1,0
43633,30461,0,2,0
42991,30462,0,1,0
42371,30460,0,3,0
21176,30461,0,2,0
44420,30461,0,2,0
32836,30461,0,2,0
43222,30462,0,1,0
22898,30461,0,2,0
42356,30462,0,1,0
668,30435,24,4,0
14303,30462,0,1,0
47582,30462,0,1,0
27651,30458,4,1,0
3228,30462,0,1,0
24811,30462,0,1,0
31320,30462,0,1,0
22778,30461,0,2,0
10358,30460,0,3,0
43236,30462,0,1,0
13516,30462,0,1,0
19514,30461,0,2,0
13631,30460,0,3,0
8883,30461,0,2,0
25952,30462,0,1,0
35531,30461,1,1,0
23983,30461,0,2,0
6500,30462,0,1,0
47488,30461,0,2,0
30989,30462,0,1,0
17157,30459,0,4,0
26785,30461,0,2,0
32341,30461,0,2,0
31368,30461,0,2,0
25229,30440,18,5,0
34730,30462,0,1,0
26718,30461,0,2,0
30545,30461,0,2,0
8614,30459,2,2,0
42510,30461,1,1,0
28766,30461,0,2,0
9939,30460,0,3,0
17044,30461,0,2,0
23249,30461,0,2,0
12518,30461,0,2,0
26395,30461,0,2,0
7751,30460,0,2,1
1598,30462,0,1,0
19690,30460,0,3,0
20866,30460,1,2,0
36046,30462,0,1,0
14208,30462,0,1,0
23305,30462,0,1,0
19765,30461,0,2,0
15145,30460,0,3,0
23954,30462,0,1,0
32601,30462,0,1,0
36960,30461,0,2,0
27701,30460,0,3,0
16001,30462,0,1,0
29162,30462,0,1,0
39491,30461,0,2,0
31576,30459,1,3,0
36692,30454,0,9,0
24474,30462,0,1,0
15973,30462,0,1,0
45016,30461,0,2,0
9096,30461,0,2,0
42843,30461,0,2,0
20661,30461,0,2,0
23988,30462,0,1,0
29900,30462,0,1,0
20315,30462,0,1,0
3093,30462,0,1,0
25285,30461,0,2,0
29715,30461,0,2,0
34076,30461,0,2,0
25840,30461,0,2,0
16343,30462,0,1,0
18216,30462,0,1,0
42009,30462,0,1,0
41081,30461,0,2,0
43189,30461,0,2,0
47197,30461,0,2,0
22812,30463,0,0,0
48251,30462,0,1,0
34958,30460,0,3,0
9726,30462,0,1,0
28010,30461,0,2,0
9809,30460,0,3,0
29602,30461,0,1,1
44427,30462,0,1,0
44524,30462,0,1,0
1838,30462,0,1,0
41225,30462,0,1,0
6450,30456,3,4,0
47742,30461,0,2,0
29423,30461,0,2,0
26326,30461,0,2,0
775,30462,0,1,0
20177,30462,0,1,0
48320,30461,0,2,0
12497,30462,0,1,0
33058,30462,0,1,0
18223,30460,0,3,0
41674,30462,0,1,0
31205,30460,0,3,0
23641,30461,0,2,0
22308,30462,0,1,0
40324,30462,0,1,0
12426,30460,0,3,0
26886,30461,0,2,0
26347,30461,0,2,0
15738,30453,5,5,0
21106,30462,0,1,0
27323,30460,1,2,0
29388,30460,0,3,0
44226,30458,0,5,0
5592,30460,1,2,0
20634,30452,4,5,2
16877,30460,0,3,0
44478,30462,0,1,0
698,30462,0,1,0
48084,30462,0,1,0
80,30458,4,1,0
41230,30456,0,5,2
40057,30460,0,3,0
9336,30460,0,3,0
40423,30462,0,1,0
13739,30461,0,2,0
41688,30460,0,3,0
23158,30461,0,2,0
28785,30461,0,2,0
39537,30462,0,1,0
22767,30462,0,1,0
40571,30462,0,1,0
25411,30462,0,1,0
10248,30461,1,1,0
7671,30460,0,3,0
33473,30461,0,2,0
19939,30462,0,1,0
31076,30462,0,1,0
1202,30461,0,2,0
44526,30461,0,2,0
21587,30461,0,2,0
22236,30462,0,1,0
19419,30460,0,3,0
38113,30462,0,1,0
17960,30461,0,2,0
25875,30462,0,1,0
43482,30462,0,1,0
11221,30460,1,2,0
30281,30462,0,1,0
9191,30449,4,10,0
9391,30462,0,1,0
13186,30461,0,2,0
33964,30462,0,1,0
47558,30462,0,1,0
42035,30462,0,1,0
12791,30461,0,2,0
44975,30461,0,2,0
10162,30461,0,2,0
11564,30461,0,2,0
9741,30460,0,3,0
786,30440,14,9,0
29567,30462,0,1,0
20331,30461,0,2,0
19604,30462,0,1,0
41571,30456,3,4,0
43629,30461,0,2,0
12444,30462,0,1,0
32391,30462,0,1,0
1468,30462,0,1,0
8954,30451,4,8,0
46143,30461,0,2,0
22833,30458,1,4,0
36962,30462,0,1,0
47434,30462,0,1,0
17921,30461,0,2,0
26777,30460,0,3,0
44985,30462,0,1,0
15011,30461,0,2,0
24479,30460,1,2,0
41428,30461,0,2,0
32470,30462,0,1,0
12396,30461,0,2,0
20366,30461,0,2,0
43901,30461,0,2,0
11970,30459,1,3,0
38412,30461,0,2,0
33405,30462,0,1,0
7821,30458,1,4,0
9312,30461,0,2,0
8833,30460,1,2,0
12346,30457,4,2,0
40787,30461,0,2,0
43474,30462,0,1,0
31771,30459,2,2,0
16617,30457,2,4,0
47546,30462,0,1,0
15461,30462,0,1,0
10013,30462,0,1,0
22737,30462,0,1,0
27559,30461,0,2,0
26077,30462,0,1,0
31880,30461,0,2,0
16417,30460,1,2,0
40202,30461,0,2,0
40007,30460,0,3,0
38825,30461,0,2,0
26758,30461,0,2,0
41577,30461,0,2,0
39610,30461,0,2,0
31281,30461,0,2,0
26592,30452,6,4,1
24785,30368,86,9,0
10200,30462,0,1,0
38008,30462,0,1,0
13527,30462,0,1,0
11244,30462,0,1,0
13020,30462,0,1,0
44056,30462,0,1,0
9127,30444,17,2,0
